timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:59.880,2070,Get Antonio-Regular.tff,200,OK,Thread Group 1-29,true,48286,100,CACSVM-12354.local,29
2013/11/27 13:31:01.248,728,Call ajax,200,OK,Thread Group 1-32,true,168374,76,CACSVM-12354.local,32
2013/11/27 13:31:01.653,364,Get Roboto-Light.woff,200,OK,Thread Group 1-7,true,71137,137,CACSVM-12354.local,7
2013/11/27 13:31:01.690,328,Get Antonio-Light.ttf,200,OK,Thread Group 1-47,true,46906,105,CACSVM-12354.local,47
2013/11/27 13:30:57.875,4217,Get html,200,OK,Thread Group 1-31,true,168531,138,CACSVM-12354.local,31
2013/11/27 13:31:01.225,893,Get html,200,OK,Thread Group 1-63,true,168538,160,CACSVM-12354.local,64
2013/11/27 13:31:01.631,531,Get Antonio-Light.woff,200,OK,Thread Group 1-14,true,43894,95,CACSVM-12354.local,14
2013/11/27 13:31:00.549,1615,Get Antonio-Regular.tff,200,OK,Thread Group 1-22,true,48286,78,CACSVM-12354.local,22
2013/11/27 13:31:01.295,963,Call ajax,200,OK,Thread Group 1-28,true,168374,90,CACSVM-12354.local,28
2013/11/27 13:31:00.665,1609,Get html,200,OK,Thread Group 1-9,true,168374,85,CACSVM-12354.local,58
2013/11/27 13:30:59.779,2509,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-15,true,64261,101,CACSVM-12354.local,15
2013/11/27 13:31:01.580,729,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-40,true,64261,88,CACSVM-12354.local,40
2013/11/27 13:30:57.026,5315,Get html,200,OK,Thread Group 1-23,true,168529,633,CACSVM-12354.local,23
2013/11/27 13:31:01.456,903,Call ajax,200,OK,Thread Group 1-25,true,168374,94,CACSVM-12354.local,25
2013/11/27 13:30:58.938,3423,Get html,200,OK,Thread Group 1-41,true,168538,435,CACSVM-12354.local,41
2013/11/27 13:30:59.348,3036,Get html,200,OK,Thread Group 1-45,true,168536,154,CACSVM-12354.local,45
2013/11/27 13:31:00.894,1504,Call ajax,200,OK,Thread Group 1-38,true,168374,59,CACSVM-12354.local,38
2013/11/27 13:31:01.332,1100,Get html,200,OK,Thread Group 1-13,true,168374,90,CACSVM-12354.local,66
2013/11/27 13:30:56.477,6030,Call ajax,200,OK,Thread Group 1-11,true,168374,73,CACSVM-12354.local,11
2013/11/27 13:30:59.242,3267,Get html,200,OK,Thread Group 1-44,true,168541,1107,CACSVM-12354.local,44
2013/11/27 13:31:00.284,2249,Get html,200,OK,Thread Group 1-54,true,168541,1070,CACSVM-12354.local,54
2013/11/27 13:30:59.811,2816,Get Antonio-Regular.tff,200,OK,Thread Group 1-21,true,48286,110,CACSVM-12354.local,21
2013/11/27 13:31:02.018,638,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-47,true,64261,76,CACSVM-12354.local,47
2013/11/27 13:31:02.259,408,Get Antonio-Regular.tff,200,OK,Thread Group 1-28,true,48286,84,CACSVM-12354.local,28
2013/11/27 13:30:59.766,2957,Get html,200,OK,Thread Group 1-49,true,168538,185,CACSVM-12354.local,49
2013/11/27 13:30:59.490,3247,Call ajax,200,OK,Thread Group 1-34,true,168380,67,CACSVM-12354.local,34
2013/11/27 13:31:01.979,758,Get Antonio-Regular.tff,200,OK,Thread Group 1-32,true,48286,85,CACSVM-12354.local,32
2013/11/27 13:31:02.399,358,Get Antonio-Regular.tff,200,OK,Thread Group 1-38,true,48286,105,CACSVM-12354.local,38
2013/11/27 13:31:02.510,256,Get Antonio-Regular.tff,200,OK,Thread Group 1-11,true,48286,97,CACSVM-12354.local,11
2013/11/27 13:30:59.463,3338,Call ajax,200,OK,Thread Group 1-33,true,168374,67,CACSVM-12354.local,33
2013/11/27 13:30:59.141,3737,Get html,200,OK,Thread Group 1-43,true,168538,165,CACSVM-12354.local,43
2013/11/27 13:31:02.668,268,Get Antonio-Light.ttf,200,OK,Thread Group 1-28,true,46906,98,CACSVM-12354.local,28
2013/11/27 13:31:02.738,238,Get Antonio-Regular.tff,200,OK,Thread Group 1-34,true,48286,77,CACSVM-12354.local,34
2013/11/27 13:31:02.758,249,Get Antonio-Light.ttf,200,OK,Thread Group 1-38,true,46906,71,CACSVM-12354.local,38
2013/11/27 13:31:02.977,136,Get Antonio-Light.ttf,200,OK,Thread Group 1-34,true,46906,67,CACSVM-12354.local,34
2013/11/27 13:31:02.738,405,Get Antonio-Light.ttf,200,OK,Thread Group 1-32,true,46906,76,CACSVM-12354.local,32
2013/11/27 13:31:02.657,549,Get Roboto-Light.woff,200,OK,Thread Group 1-47,true,71137,77,CACSVM-12354.local,47
2013/11/27 13:31:00.632,2574,Call ajax,200,OK,Thread Group 1-37,true,168374,74,CACSVM-12354.local,37
2013/11/27 13:31:01.397,1839,Call ajax,200,OK,Thread Group 1-35,true,168381,66,CACSVM-12354.local,35
2013/11/27 13:31:01.945,1332,Get html,200,OK,Thread Group 1-70,true,168538,145,CACSVM-12354.local,72
2013/11/27 13:31:01.146,2163,Get Antonio-Light.woff,200,OK,Thread Group 1-2,true,43894,68,CACSVM-12354.local,2
2013/11/27 13:31:03.007,319,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-38,true,64261,64,CACSVM-12354.local,38
2013/11/27 13:31:00.973,2612,Get html,200,OK,Thread Group 1-60,true,168529,155,CACSVM-12354.local,61
2013/11/27 13:31:03.326,307,Get Roboto-Light.woff,200,OK,Thread Group 1-38,true,71137,67,CACSVM-12354.local,38
2013/11/27 13:30:59.661,4038,Get html,200,OK,Thread Group 1-48,true,168554,185,CACSVM-12354.local,48
2013/11/27 13:31:03.210,598,Get Antonio-Regular.tff,200,OK,Thread Group 1-37,true,48286,124,CACSVM-12354.local,37
2013/11/27 13:31:00.597,3212,Get html,200,OK,Thread Group 1-57,true,168549,138,CACSVM-12354.local,57
2013/11/27 13:31:02.342,1478,Call ajax,200,OK,Thread Group 1-23,true,168381,127,CACSVM-12354.local,23
2013/11/27 13:30:59.815,4041,Get Antonio-Regular.tff,200,OK,Thread Group 1-6,true,48286,306,CACSVM-12354.local,6
2013/11/27 13:31:03.114,743,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-34,true,64261,74,CACSVM-12354.local,34
2013/11/27 13:31:03.207,727,Get Roboto-Medium.woff,200,OK,Thread Group 1-47,true,70569,122,CACSVM-12354.local,47
2013/11/27 13:31:01.443,2491,Get html,200,OK,Thread Group 1-65,true,168529,180,CACSVM-12354.local,67
